s166	Movie	A Clockwork Orange	Stanley Kubrick	Malcolm McDowell.
s163	Movie	A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir	Thomas Astruc	Cristina Vee.
s164	Movie	A Cinderella Story	Mark Rosman	Hilary Duff.
s165	Movie	A Cinderella Story: Christmas Wish	Michelle Johnston	Laura Marano.
s166	Movie	A Clockwork Orange	Stanley Kubrick	Malcolm McDowell.
s167	Movie	A Dangerous Woman	Stephen Gyllenhaal	Debra Winger.
s20	Movie	'89	N.A.	Lee Dixon, Ian Wright, Paul Merson
s21	Movie	â€‹â€‹Kuch Bheege Alfaaz	Onir	Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan
s22	Movie	â€‹Goli Soda 2	Vijay Milton	Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha
s23	Movie	â€‹Maj Rati â€‹â€‹Keteki	Santwana Bardoloi	Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar
s3358	Movie	Khoobsurat	Shashanka Ghosh	Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak Shah, Amir Raza Hussain, Ashok Banthia, Kaizaad Kotwal, Rishabh Chaddha
s3359	Movie	Khoon Khoon	Mohammed Hussain	Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep
s3360	Movie	Khosla Ka Ghosla	Dibakar Banerjee	Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey
s3361	TV Show	Khotey Sikkey	N.A.	Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh
s3362	Movie	Khubsoorat	Hrishikesh Mukherjee	Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee
s3363	Movie	Khushi	Surya S.J., Sunil Kumar Agrawal	Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand
